Part_Number,Year,Month,Raw_Forecast_Demand
SC-CLG-0001,2020,7,76
SC-CLG-0001,2020,8,24
SC-CLG-0001,2020,9,22
SC-CLG-0001,2020,10,30
SC-CLG-0001,2020,11,96
SC-CLG-0001,2020,12,33
SC-CLG-0001,2021,1,38
SC-CLG-0001,2021,2,35
SC-CLG-0001,2021,3,75
SC-CLG-0001,2021,4,35
SC-CLG-0001,2021,5,7
SC-CLG-0001,2021,6,0
SC-CLG-0001,2021,7,30
SC-CLG-0001,2021,8,25
SC-CLG-0001,2021,9,48
SC-CLG-0001,2021,10,93
SC-CLG-0001,2021,11,22
SC-CLG-0001,2021,12,0
SC-CLG-0001,2022,1,58
SC-CLG-0001,2022,2,28
SC-CLG-0001,2022,3,51
SC-CLG-0001,2022,4,29
SC-CLG-0001,2022,5,40
SC-CLG-0001,2022,6,59
SC-CLG-0001,2022,7,25
SC-CLG-0001,2022,8,22
SC-CLG-0001,2022,9,65
SC-CLG-0001,2022,10,41
SC-CLG-0001,2022,11,28
SC-CLG-0001,2022,12,58
SC-CLG-0001,2023,1,63
SC-CLG-0001,2023,2,21
SC-CLG-0001,2023,3,42
SC-CLG-0001,2023,4,32
SC-CLG-0001,2023,5,38
SC-CLG-0001,2023,6,0
SC-CLG-0001,2023,7,71
SC-CLG-0001,2023,8,32
SC-CLG-0001,2023,9,43
SC-CLG-0001,2023,10,13
SC-CLG-0001,2023,11,0
SC-CLG-0001,2023,12,47
SC-CLG-0001,2024,1,85
SC-CLG-0001,2024,2,21
SC-CLG-0001,2024,3,40
SC-CLG-0001,2024,4,2
SC-CLG-0001,2024,5,12
SC-CLG-0001,2024,6,33
SC-CLG-0001,2024,7,73
SC-CLG-0001,2024,8,46
SC-CLG-0001,2024,9,50
SC-CLG-0001,2024,10,79
SC-CLG-0001,2024,11,33
SC-CLG-0001,2024,12,59
SC-TRN-0001,2020,1,279
SC-TRN-0001,2020,2,183
SC-TRN-0001,2020,3,47
SC-TRN-0001,2020,4,313
SC-TRN-0001,2020,5,244
SC-TRN-0001,2020,6,189
SC-TRN-0001,2020,7,112
SC-TRN-0001,2020,8,112
SC-TRN-0001,2020,9,382
SC-TRN-0001,2020,10,211
SC-TRN-0001,2020,11,105
SC-TRN-0001,2020,12,228
SC-TRN-0001,2021,1,228
SC-TRN-0001,2021,2,261
SC-TRN-0001,2021,3,212
SC-TRN-0001,2021,4,208
SC-TRN-0001,2021,5,240
SC-TRN-0001,2021,6,92
SC-TRN-0001,2021,7,187
SC-TRN-0001,2021,8,180
SC-TRN-0001,2021,9,176
SC-TRN-0001,2021,10,311
SC-TRN-0001,2021,11,252
SC-TRN-0001,2021,12,88
SC-TRN-0001,2022,1,350
SC-TRN-0001,2022,2,231
SC-TRN-0001,2022,3,221
SC-TRN-0001,2022,4,256
SC-TRN-0001,2022,5,196
SC-TRN-0001,2022,6,257
SC-TRN-0001,2022,7,350
SC-TRN-0001,2022,8,388
SC-TRN-0001,2022,9,275
SC-TRN-0001,2022,10,352
SC-TRN-0001,2022,11,322
SC-TRN-0001,2022,12,464
SC-TRN-0001,2023,1,160
SC-TRN-0001,2023,2,409
SC-TRN-0001,2023,3,348
SC-TRN-0001,2023,4,250
SC-TRN-0001,2023,5,222
SC-TRN-0001,2023,6,94
SC-TRN-0001,2023,7,420
SC-TRN-0001,2023,8,310
SC-TRN-0001,2023,9,139
SC-TRN-0001,2023,10,333
SC-TRN-0001,2023,11,247
SC-TRN-0001,2023,12,174
SC-TRN-0001,2024,1,380
SC-TRN-0001,2024,2,163
SC-TRN-0001,2024,3,260
SC-TRN-0001,2024,4,452
SC-TRN-0001,2024,5,300
SC-TRN-0001,2024,6,199
SC-TRN-0001,2024,7,248
SC-TRN-0001,2024,8,301
SC-TRN-0001,2024,9,281
SC-TRN-0001,2024,10,235
SC-TRN-0001,2024,11,429
SC-TRN-0001,2024,12,412
SC-SUS-0001,2020,1,81
SC-SUS-0001,2020,2,59
SC-SUS-0001,2020,3,84
SC-SUS-0001,2020,4,102
SC-SUS-0001,2020,5,38
SC-SUS-0001,2020,6,118
SC-SUS-0001,2020,7,188
SC-SUS-0001,2020,8,245
SC-SUS-0001,2020,9,101
SC-SUS-0001,2020,10,179
SC-SUS-0001,2020,11,215
SC-SUS-0001,2020,12,214
SC-SUS-0001,2021,1,125
SC-SUS-0001,2021,2,196
SC-SUS-0001,2021,3,171
SC-SUS-0001,2021,4,168
SC-SUS-0001,2021,5,220
SC-SUS-0001,2021,6,178
SC-SUS-0001,2021,7,192
SC-SUS-0001,2021,8,152
SC-SUS-0001,2021,9,149
SC-SUS-0001,2021,10,198
SC-SUS-0001,2021,11,252
SC-SUS-0001,2021,12,93
SC-SUS-0001,2022,1,193
SC-SUS-0001,2022,2,155
SC-SUS-0001,2022,3,221
SC-SUS-0001,2022,4,126
SC-SUS-0001,2022,5,122
SC-SUS-0001,2022,6,197
SC-SUS-0001,2022,7,344
SC-SUS-0001,2022,8,169
SC-SUS-0001,2022,9,177
SC-SUS-0001,2022,10,137
SC-SUS-0001,2022,11,315
SC-SUS-0001,2022,12,99
SC-SUS-0001,2023,1,235
SC-SUS-0001,2023,2,182
SC-SUS-0001,2023,3,218
SC-SUS-0001,2023,4,268
SC-SUS-0001,2023,5,145
SC-SUS-0001,2023,6,276
SC-SUS-0001,2023,7,250
SC-SUS-0001,2023,8,188
SC-SUS-0001,2023,9,242
SC-SUS-0001,2023,10,230
SC-SUS-0001,2023,11,273
SC-SUS-0001,2023,12,245
SC-SUS-0001,2024,1,206
SC-SUS-0001,2024,2,112
SC-SUS-0001,2024,3,153
SC-SUS-0001,2024,4,336
SC-SUS-0001,2024,5,118
SC-SUS-0001,2024,6,242
SC-SUS-0001,2024,7,253
SC-SUS-0001,2024,8,326
SC-SUS-0001,2024,9,129
SC-SUS-0001,2024,10,185
SC-SUS-0001,2024,11,262
SC-SUS-0001,2024,12,338
SC-ENG-0001,2020,1,150
SC-ENG-0001,2020,2,63
SC-ENG-0001,2020,3,113
SC-ENG-0001,2020,4,153
SC-ENG-0001,2020,5,31
SC-ENG-0001,2020,6,118
SC-ENG-0001,2020,7,54
SC-ENG-0001,2020,8,81
SC-ENG-0001,2020,9,16
SC-ENG-0001,2020,10,77
SC-ENG-0001,2020,11,61
SC-ENG-0001,2020,12,25
SC-ENG-0001,2021,1,23
SC-ENG-0001,2021,2,6
SC-ENG-0001,2021,3,27
SC-ENG-0001,2021,4,33
SC-ENG-0001,2021,5,117
SC-ENG-0001,2021,6,47
SC-ENG-0001,2021,7,22
SC-ENG-0001,2021,8,82
SC-ENG-0001,2021,9,182
SC-ENG-0001,2021,10,71
SC-ENG-0001,2021,11,109
SC-ENG-0001,2021,12,39
SC-ENG-0001,2022,1,27
SC-ENG-0001,2022,2,70
SC-ENG-0001,2022,3,34
SC-ENG-0001,2022,4,71
SC-ENG-0001,2022,5,41
SC-ENG-0001,2022,6,177
SC-ENG-0001,2022,7,73
SC-ENG-0001,2022,8,149
SC-ENG-0001,2022,9,150
SC-ENG-0001,2022,10,128
SC-ENG-0001,2022,11,61
SC-ENG-0001,2022,12,25
SC-ENG-0001,2023,1,0
SC-ENG-0001,2023,2,76
SC-ENG-0001,2023,3,217
SC-ENG-0001,2023,4,58
SC-ENG-0001,2023,5,180
SC-ENG-0001,2023,6,102
SC-ENG-0001,2023,7,75
SC-ENG-0001,2023,8,253
SC-ENG-0001,2023,9,44
SC-ENG-0001,2023,10,144
SC-ENG-0001,2023,11,54
SC-ENG-0001,2023,12,132
SC-ENG-0001,2024,1,246
SC-ENG-0001,2024,2,408
SC-ENG-0001,2024,3,291
SC-ENG-0001,2024,4,445
SC-ENG-0001,2024,5,194
SC-ENG-0001,2024,6,389
SC-ENG-0001,2024,7,231
SC-ENG-0001,2024,8,108
SC-ENG-0001,2024,9,432
SC-ENG-0001,2024,10,76
SC-ENG-0001,2024,11,37
SC-ENG-0001,2024,12,33
SC-ENG-0002,2020,1,1415
SC-ENG-0002,2020,2,1568
SC-ENG-0002,2020,3,1043
SC-ENG-0002,2020,4,1728
SC-ENG-0002,2020,5,1687
SC-ENG-0002,2020,6,1603
SC-ENG-0002,2020,7,1342
SC-ENG-0002,2020,8,1784
SC-ENG-0002,2020,9,1020
SC-ENG-0002,2020,10,1265
SC-ENG-0002,2020,11,1695
SC-ENG-0002,2020,12,1356
SC-ENG-0002,2021,1,1128
SC-ENG-0002,2021,2,1517
SC-ENG-0002,2021,3,1416
SC-ENG-0002,2021,4,1082
SC-ENG-0002,2021,5,1453
SC-ENG-0002,2021,6,1536
SC-ENG-0002,2021,7,1403
SC-ENG-0002,2021,8,1350
SC-ENG-0002,2021,9,1486
SC-ENG-0002,2021,10,1629
SC-ENG-0002,2021,11,1288
SC-ENG-0002,2021,12,1764
SC-ENG-0002,2022,1,1816
SC-ENG-0002,2022,2,1564
SC-ENG-0002,2022,3,1459
SC-ENG-0002,2022,4,1377
SC-ENG-0002,2022,5,1475
SC-ENG-0002,2022,6,1328
SC-ENG-0002,2022,7,1434
SC-ENG-0002,2022,8,1453
SC-ENG-0002,2022,9,1157
SC-ENG-0002,2022,10,982
SC-ENG-0002,2022,11,1359
SC-ENG-0002,2022,12,1601
SC-ENG-0002,2023,1,1698
SC-ENG-0002,2023,2,1845
SC-ENG-0002,2023,3,1966
SC-ENG-0002,2023,4,2214
SC-ENG-0002,2023,5,1724
SC-ENG-0002,2023,6,1634
SC-ENG-0002,2023,7,1985
SC-ENG-0002,2023,8,1958
SC-ENG-0002,2023,9,1577
SC-ENG-0002,2023,10,1456
SC-ENG-0002,2023,11,2044
SC-ENG-0002,2023,12,1493
SC-ENG-0002,2024,1,1489
SC-ENG-0002,2024,2,1838
SC-ENG-0002,2024,3,1878
SC-ENG-0002,2024,4,1289
SC-ENG-0002,2024,5,1927
SC-ENG-0002,2024,6,2040
SC-ENG-0002,2024,7,1557
SC-ENG-0002,2024,8,1269
SC-ENG-0002,2024,9,918
SC-ENG-0002,2024,10,2223
SC-ENG-0002,2024,11,2339
SC-ENG-0002,2024,12,1959
SC-HYD-0002,2020,1,38
SC-HYD-0002,2020,2,33
SC-HYD-0002,2020,3,30
SC-HYD-0002,2020,4,48
SC-HYD-0002,2020,5,24
SC-HYD-0002,2020,6,6
SC-HYD-0002,2020,7,50
SC-HYD-0002,2020,8,21
SC-HYD-0002,2020,9,40
SC-HYD-0002,2020,10,59
SC-HYD-0002,2020,11,46
SC-HYD-0002,2020,12,48
SC-HYD-0002,2021,1,43
SC-HYD-0002,2021,2,27
SC-HYD-0002,2021,3,0
SC-HYD-0002,2021,4,20
SC-HYD-0002,2021,5,22
SC-HYD-0002,2021,6,54
SC-HYD-0002,2021,7,87
SC-HYD-0002,2021,8,1
SC-HYD-0002,2021,9,28
SC-HYD-0002,2021,10,27
SC-HYD-0002,2021,11,27
SC-HYD-0002,2021,12,22
SC-HYD-0002,2022,1,16
SC-HYD-0002,2022,2,49
SC-HYD-0002,2022,3,46
SC-HYD-0002,2022,4,53
SC-HYD-0002,2022,5,34
SC-HYD-0002,2022,6,46
SC-HYD-0002,2022,7,24
SC-HYD-0002,2022,8,39
SC-HYD-0002,2022,9,45
SC-HYD-0002,2022,10,60
SC-HYD-0002,2022,11,39
SC-HYD-0002,2022,12,133
SC-HYD-0002,2023,1,98
SC-HYD-0002,2023,2,50
SC-HYD-0002,2023,3,67
SC-HYD-0002,2023,4,59
SC-HYD-0002,2023,5,33
SC-HYD-0002,2023,6,49
SC-HYD-0002,2023,7,74
SC-HYD-0002,2023,8,47
SC-HYD-0002,2023,9,62
SC-HYD-0002,2023,10,88
SC-HYD-0002,2023,11,62
SC-HYD-0002,2023,12,70
SC-HYD-0002,2024,1,122
SC-HYD-0002,2024,2,77
SC-HYD-0002,2024,3,73
SC-HYD-0002,2024,4,44
SC-HYD-0002,2024,5,26
SC-HYD-0002,2024,6,38
SC-HYD-0002,2024,7,8
SC-HYD-0002,2024,8,79
SC-HYD-0002,2024,9,24
SC-HYD-0002,2024,10,0
SC-HYD-0002,2024,11,98
SC-HYD-0002,2024,12,73
SC-SUS-0002,2020,1,602
SC-SUS-0002,2020,2,500
SC-SUS-0002,2020,3,586
SC-SUS-0002,2020,4,776
SC-SUS-0002,2020,5,839
SC-SUS-0002,2020,6,654
SC-SUS-0002,2020,7,714
SC-SUS-0002,2020,8,1124
SC-SUS-0002,2020,9,963
SC-SUS-0002,2020,10,1108
SC-SUS-0002,2020,11,903
SC-SUS-0002,2020,12,875
SC-SUS-0002,2021,1,894
SC-SUS-0002,2021,2,1000
SC-SUS-0002,2021,3,816
SC-SUS-0002,2021,4,735
SC-SUS-0002,2021,5,1053
SC-SUS-0002,2021,6,793
SC-SUS-0002,2021,7,804
SC-SUS-0002,2021,8,789
SC-SUS-0002,2021,9,983
SC-SUS-0002,2021,10,573
SC-SUS-0002,2021,11,984
SC-SUS-0002,2021,12,1175
SC-SUS-0002,2022,1,1004
SC-SUS-0002,2022,2,1326
SC-SUS-0002,2022,3,856
SC-SUS-0002,2022,4,1062
SC-SUS-0002,2022,5,886
SC-SUS-0002,2022,6,1233
SC-SUS-0002,2022,7,1005
SC-SUS-0002,2022,8,1161
SC-SUS-0002,2022,9,675
SC-SUS-0002,2022,10,851
SC-SUS-0002,2022,11,715
SC-SUS-0002,2022,12,924
SC-SUS-0002,2023,1,1115
SC-SUS-0002,2023,2,963
SC-SUS-0002,2023,3,911
SC-SUS-0002,2023,4,1206
SC-SUS-0002,2023,5,1168
SC-SUS-0002,2023,6,895
SC-SUS-0002,2023,7,952
SC-SUS-0002,2023,8,916
SC-SUS-0002,2023,9,948
SC-SUS-0002,2023,10,976
SC-SUS-0002,2023,11,1010
SC-SUS-0002,2023,12,980
SC-SUS-0002,2024,1,1132
SC-SUS-0002,2024,2,1118
SC-SUS-0002,2024,3,1425
SC-SUS-0002,2024,4,1602
SC-SUS-0002,2024,5,748
SC-SUS-0002,2024,6,938
SC-SUS-0002,2024,7,957
SC-SUS-0002,2024,8,1024
SC-SUS-0002,2024,9,918
SC-SUS-0002,2024,10,1021
SC-SUS-0002,2024,11,1150
SC-SUS-0002,2024,12,1201
SC-HYD-0003,2020,1,274
SC-HYD-0003,2020,2,535
SC-HYD-0003,2020,3,477
SC-HYD-0003,2020,4,566
SC-HYD-0003,2020,5,563
SC-HYD-0003,2020,6,619
SC-HYD-0003,2020,7,451
SC-HYD-0003,2020,8,763
SC-HYD-0003,2020,9,465
SC-HYD-0003,2020,10,752
SC-HYD-0003,2020,11,692
SC-HYD-0003,2020,12,523
SC-HYD-0003,2021,1,774
SC-HYD-0003,2021,2,995
SC-HYD-0003,2021,3,548
SC-HYD-0003,2021,4,476
SC-HYD-0003,2021,5,830
SC-HYD-0003,2021,6,618
SC-HYD-0003,2021,7,682
SC-HYD-0003,2021,8,827
SC-HYD-0003,2021,9,1023
SC-HYD-0003,2021,10,1078
SC-HYD-0003,2021,11,788
SC-HYD-0003,2021,12,529
SC-HYD-0003,2022,1,948
SC-HYD-0003,2022,2,283
SC-HYD-0003,2022,3,927
SC-HYD-0003,2022,4,714
SC-HYD-0003,2022,5,538
SC-HYD-0003,2022,6,206
SC-HYD-0003,2022,7,517
SC-HYD-0003,2022,8,730
SC-HYD-0003,2022,9,297
SC-HYD-0003,2022,10,619
SC-HYD-0003,2022,11,587
SC-HYD-0003,2022,12,796
SC-HYD-0003,2023,1,553
SC-HYD-0003,2023,2,1085
SC-HYD-0003,2023,3,905
SC-HYD-0003,2023,4,580
SC-HYD-0003,2023,5,483
SC-HYD-0003,2023,6,857
SC-HYD-0003,2023,7,536
SC-HYD-0003,2023,8,1048
SC-HYD-0003,2023,9,680
SC-HYD-0003,2023,10,669
SC-HYD-0003,2023,11,452
SC-HYD-0003,2023,12,540
SC-HYD-0003,2024,1,448
SC-HYD-0003,2024,2,487
SC-HYD-0003,2024,3,469
SC-HYD-0003,2024,4,824
SC-HYD-0003,2024,5,731
SC-HYD-0003,2024,6,1022
SC-HYD-0003,2024,7,948
SC-HYD-0003,2024,8,746
SC-HYD-0003,2024,9,991
SC-HYD-0003,2024,10,1016
SC-HYD-0003,2024,11,912
SC-HYD-0003,2024,12,823
SC-FUE-0002,2020,1,93
SC-FUE-0002,2020,2,78
SC-FUE-0002,2020,3,158
SC-FUE-0002,2020,4,228
SC-FUE-0002,2020,5,198
SC-FUE-0002,2020,6,345
SC-FUE-0002,2020,7,418
SC-FUE-0002,2020,8,301
SC-FUE-0002,2020,9,354
SC-FUE-0002,2020,10,307
SC-FUE-0002,2020,11,137
SC-FUE-0002,2020,12,643
SC-FUE-0002,2021,1,238
SC-FUE-0002,2021,2,345
SC-FUE-0002,2021,3,249
SC-FUE-0002,2021,4,191
SC-FUE-0002,2021,5,414
SC-FUE-0002,2021,6,650
SC-FUE-0002,2021,7,563
SC-FUE-0002,2021,8,611
SC-FUE-0002,2021,9,343
SC-FUE-0002,2021,10,174
SC-FUE-0002,2021,11,403
SC-FUE-0002,2021,12,218
SC-FUE-0002,2022,1,521
SC-FUE-0002,2022,2,240
SC-FUE-0002,2022,3,330
SC-FUE-0002,2022,4,247
SC-FUE-0002,2022,5,301
SC-FUE-0002,2022,6,338
SC-FUE-0002,2022,7,372
SC-FUE-0002,2022,8,327
SC-FUE-0002,2022,9,391
SC-FUE-0002,2022,10,412
SC-FUE-0002,2022,11,323
SC-FUE-0002,2022,12,403
SC-FUE-0002,2023,1,547
SC-FUE-0002,2023,2,472
SC-FUE-0002,2023,3,582
SC-FUE-0002,2023,4,568
SC-FUE-0002,2023,5,365
SC-FUE-0002,2023,6,421
SC-FUE-0002,2023,7,440
SC-FUE-0002,2023,8,329
SC-FUE-0002,2023,9,413
SC-FUE-0002,2023,10,447
SC-FUE-0002,2023,11,232
SC-FUE-0002,2023,12,474
SC-FUE-0002,2024,1,370
SC-FUE-0002,2024,2,380
SC-FUE-0002,2024,3,564
SC-FUE-0002,2024,4,421
SC-FUE-0002,2024,5,524
SC-FUE-0002,2024,6,577
SC-FUE-0002,2024,7,201
SC-FUE-0002,2024,8,353
SC-FUE-0002,2024,9,823
SC-FUE-0002,2024,10,416
SC-FUE-0002,2024,11,463
SC-FUE-0002,2024,12,372
SC-FLT-0002,2020,1,83
SC-FLT-0002,2020,2,192
SC-FLT-0002,2020,3,309
SC-FLT-0002,2020,4,202
SC-FLT-0002,2020,5,118
SC-FLT-0002,2020,6,499
SC-FLT-0002,2020,7,385
SC-FLT-0002,2020,8,877
SC-FLT-0002,2020,9,819
SC-FLT-0002,2020,10,909
SC-FLT-0002,2020,11,745
SC-FLT-0002,2020,12,532
SC-FLT-0002,2021,1,273
SC-FLT-0002,2021,2,745
SC-FLT-0002,2021,3,418
SC-FLT-0002,2021,4,603
SC-FLT-0002,2021,5,406
SC-FLT-0002,2021,6,679
SC-FLT-0002,2021,7,514
SC-FLT-0002,2021,8,720
SC-FLT-0002,2021,9,623
SC-FLT-0002,2021,10,988
SC-FLT-0002,2021,11,903
SC-FLT-0002,2021,12,781
SC-FLT-0002,2022,1,1077
SC-FLT-0002,2022,2,691
SC-FLT-0002,2022,3,693
SC-FLT-0002,2022,4,701
SC-FLT-0002,2022,5,493
SC-FLT-0002,2022,6,468
SC-FLT-0002,2022,7,585
SC-FLT-0002,2022,8,406
SC-FLT-0002,2022,9,916
SC-FLT-0002,2022,10,639
SC-FLT-0002,2022,11,824
SC-FLT-0002,2022,12,639
SC-FLT-0002,2023,1,844
SC-FLT-0002,2023,2,980
SC-FLT-0002,2023,3,365
SC-FLT-0002,2023,4,828
SC-FLT-0002,2023,5,472
SC-FLT-0002,2023,6,794
SC-FLT-0002,2023,7,1106
SC-FLT-0002,2023,8,1037
SC-FLT-0002,2023,9,705
SC-FLT-0002,2023,10,818
SC-FLT-0002,2023,11,411
SC-FLT-0002,2023,12,647
SC-FLT-0002,2024,1,800
SC-FLT-0002,2024,2,1298
SC-FLT-0002,2024,3,460
SC-FLT-0002,2024,4,884
SC-FLT-0002,2024,5,546
SC-FLT-0002,2024,6,1111
SC-FLT-0002,2024,7,1217
SC-FLT-0002,2024,8,1628
SC-FLT-0002,2024,9,1253
SC-FLT-0002,2024,10,1176
SC-FLT-0002,2024,11,889
SC-FLT-0002,2024,12,775
SC-SUS-0003,2020,1,53
SC-SUS-0003,2020,2,51
SC-SUS-0003,2020,3,18
SC-SUS-0003,2020,4,38
SC-SUS-0003,2020,5,11
SC-SUS-0003,2020,6,29
SC-SUS-0003,2020,7,22
SC-SUS-0003,2020,8,39
SC-SUS-0003,2020,9,54
SC-SUS-0003,2020,10,71
SC-SUS-0003,2020,11,64
SC-SUS-0003,2020,12,29
SC-SUS-0003,2021,1,36
SC-SUS-0003,2021,2,97
SC-SUS-0003,2021,3,64
SC-SUS-0003,2021,4,27
SC-SUS-0003,2021,5,21
SC-SUS-0003,2021,6,80
SC-SUS-0003,2021,7,103
SC-SUS-0003,2021,8,34
SC-SUS-0003,2021,9,96
SC-SUS-0003,2021,10,53
SC-SUS-0003,2021,11,63
SC-SUS-0003,2021,12,62
SC-SUS-0003,2022,1,70
SC-SUS-0003,2022,2,71
SC-SUS-0003,2022,3,97
SC-SUS-0003,2022,4,106
SC-SUS-0003,2022,5,113
SC-SUS-0003,2022,6,61
SC-SUS-0003,2022,7,152
SC-SUS-0003,2022,8,74
