Part_Number,Year,Month,Raw_Forecast,PSC_Adjustment_Amount,Final_Order_Quantity,Adjustment_Reason
SC-HYD-0001,2021,4,572,154,726,Customer demand expectation
SC-HYD-0001,2021,5,514,-162,352,Inventory consideration
SC-HYD-0001,2021,6,556,0,556,
SC-HYD-0001,2021,7,919,220,1139,Customer demand expectation
SC-HYD-0001,2021,8,554,0,554,
SC-HYD-0001,2021,9,494,0,494,No adjustment
SC-HYD-0001,2021,10,564,-239,325,Inventory consideration
SC-HYD-0001,2021,11,821,0,821,No adjustment
SC-HYD-0001,2021,12,604,171,775,Customer demand expectation
SC-HYD-0001,2022,1,380,-109,271,Customer demand expectation
SC-HYD-0001,2022,2,483,132,615,Lead time consideration
SC-HYD-0001,2022,3,962,215,1177,Critical part requirement
SC-HYD-0001,2022,4,631,112,743,Customer demand expectation
SC-HYD-0001,2022,5,925,415,1340,Lead time consideration
SC-HYD-0001,2022,6,889,0,889,
SC-HYD-0001,2022,7,767,0,767,
SC-HYD-0001,2022,8,767,-241,526,Customer demand expectation
SC-HYD-0001,2022,9,578,141,719,Customer demand expectation
SC-HYD-0001,2022,10,670,0,670,
SC-HYD-0001,2022,11,725,0,725,No adjustment
SC-HYD-0001,2022,12,924,344,1268,Lead time consideration
SC-HYD-0001,2023,1,662,-184,478,Inventory consideration
SC-HYD-0001,2023,2,647,-260,387,
SC-HYD-0001,2023,3,922,335,1257,Lead time consideration
SC-HYD-0001,2023,4,1169,-428,741,Inventory consideration
SC-HYD-0001,2023,5,1069,260,1329,Customer demand expectation
SC-HYD-0001,2023,6,863,162,1025,
SC-HYD-0001,2023,7,1132,0,1132,
SC-HYD-0001,2023,8,733,0,733,
SC-HYD-0001,2023,9,896,183,1079,
SC-HYD-0001,2023,10,890,-187,703,Customer demand expectation
SC-HYD-0001,2023,11,795,-132,663,
SC-HYD-0001,2023,12,437,0,437,
SC-HYD-0001,2024,1,427,0,427,No adjustment
SC-HYD-0001,2024,2,844,0,844,
SC-HYD-0001,2024,3,1054,141,1195,Lead time consideration
SC-HYD-0001,2024,4,882,0,882,No adjustment
SC-HYD-0001,2024,5,699,0,699,
SC-HYD-0001,2024,6,1201,279,1480,Critical part requirement
SC-HYD-0001,2024,7,873,-166,707,Inventory consideration
SC-HYD-0001,2024,8,774,0,774,
SC-HYD-0001,2024,9,965,0,965,
SC-HYD-0001,2024,10,703,0,703,No adjustment
SC-HYD-0001,2024,11,746,169,915,Lead time consideration
SC-HYD-0001,2024,12,1033,304,1337,Customer demand expectation
SC-CLG-0001,2020,1,15,-6,9,Inventory consideration
SC-CLG-0001,2020,2,50,-14,36,Inventory consideration
SC-CLG-0001,2020,3,13,-4,9,Customer demand expectation
SC-CLG-0001,2020,4,11,0,11,No adjustment
SC-CLG-0001,2020,5,65,-22,43,Inventory consideration
SC-CLG-0001,2020,6,55,0,55,
SC-CLG-0001,2020,7,76,0,76,
SC-CLG-0001,2020,8,24,0,24,
SC-CLG-0001,2020,9,22,0,22,
SC-CLG-0001,2020,10,30,12,42,Customer demand expectation
SC-CLG-0001,2020,11,96,-33,63,Inventory consideration
SC-CLG-0001,2020,12,33,-11,22,Customer demand expectation
SC-CLG-0001,2021,1,38,-12,26,Inventory consideration
SC-CLG-0001,2021,2,35,0,35,No adjustment
SC-CLG-0001,2021,3,75,0,75,
SC-CLG-0001,2021,4,35,-13,22,Customer demand expectation
SC-CLG-0001,2021,5,7,3,10,Critical part requirement
SC-CLG-0001,2021,6,0,0,0,
SC-CLG-0001,2021,7,30,0,30,No adjustment
SC-CLG-0001,2021,8,25,-4,21,Customer demand expectation
SC-CLG-0001,2021,9,48,-12,36,Customer demand expectation
SC-CLG-0001,2021,10,93,-24,69,Inventory consideration
SC-CLG-0001,2021,11,22,-3,19,Customer demand expectation
SC-CLG-0001,2021,12,0,0,0,Inventory consideration
SC-CLG-0001,2022,1,58,12,70,Customer demand expectation
SC-CLG-0001,2022,2,28,-11,17,Inventory consideration
SC-CLG-0001,2022,3,51,-19,32,Customer demand expectation
SC-CLG-0001,2022,4,29,-7,22,Customer demand expectation
SC-CLG-0001,2022,5,40,0,40,
SC-CLG-0001,2022,6,59,-22,37,Customer demand expectation
SC-CLG-0001,2022,7,25,-8,17,Inventory consideration
SC-CLG-0001,2022,8,22,-2,20,Inventory consideration
SC-CLG-0001,2022,9,65,-28,37,Inventory consideration
SC-CLG-0001,2022,10,41,0,41,No adjustment
SC-CLG-0001,2022,11,28,-10,18,Customer demand expectation
SC-CLG-0001,2022,12,58,-12,46,Customer demand expectation
SC-CLG-0001,2023,1,63,0,63,No adjustment
SC-CLG-0001,2023,2,21,-8,13,
SC-CLG-0001,2023,3,42,-11,31,Inventory consideration
SC-CLG-0001,2023,4,32,-11,21,Customer demand expectation
SC-CLG-0001,2023,5,38,0,38,
SC-CLG-0001,2023,6,0,0,0,Customer demand expectation
SC-CLG-0001,2023,7,71,-11,60,Inventory consideration
SC-CLG-0001,2023,8,32,-6,26,Inventory consideration
SC-CLG-0001,2023,9,43,-15,28,Inventory consideration
SC-CLG-0001,2023,10,13,0,13,
SC-CLG-0001,2023,11,0,0,0,Inventory consideration
SC-CLG-0001,2023,12,47,-15,32,Inventory consideration
SC-CLG-0001,2024,1,85,29,114,Critical part requirement
SC-CLG-0001,2024,2,21,0,21,
SC-CLG-0001,2024,3,40,-8,32,Customer demand expectation
SC-CLG-0001,2024,4,2,-1,1,Customer demand expectation
SC-CLG-0001,2024,5,12,5,17,Customer demand expectation
SC-CLG-0001,2024,6,33,-6,27,Customer demand expectation
SC-CLG-0001,2024,7,73,12,85,Lead time consideration
SC-CLG-0001,2024,8,46,-19,27,Customer demand expectation
SC-CLG-0001,2024,9,50,0,50,No adjustment
SC-CLG-0001,2024,10,79,0,79,No adjustment
SC-CLG-0001,2024,11,33,0,33,No adjustment
SC-CLG-0001,2024,12,59,-9,50,Customer demand expectation
SC-TRN-0001,2020,1,279,87,366,Customer demand expectation
SC-TRN-0001,2020,2,183,51,234,Lead time consideration
SC-TRN-0001,2020,3,47,15,62,Lead time consideration
SC-TRN-0001,2020,4,313,-128,185,Inventory consideration
SC-TRN-0001,2020,5,244,0,244,No adjustment
SC-TRN-0001,2020,6,189,49,238,Lead time consideration
SC-TRN-0001,2020,7,112,48,160,Lead time consideration
SC-TRN-0001,2020,8,112,-19,93,Customer demand expectation
SC-TRN-0001,2020,9,382,0,382,
SC-TRN-0001,2020,10,211,54,265,Lead time consideration
SC-TRN-0001,2020,11,105,0,105,
SC-TRN-0001,2020,12,228,0,228,
SC-TRN-0001,2021,1,228,-25,203,Inventory consideration
SC-TRN-0001,2021,2,261,117,378,Customer demand expectation
SC-TRN-0001,2021,3,212,-59,153,Customer demand expectation
SC-TRN-0001,2021,4,208,0,208,No adjustment
SC-TRN-0001,2021,5,240,-30,210,
SC-TRN-0001,2021,6,92,-19,73,Inventory consideration
SC-TRN-0001,2021,7,187,-39,148,Customer demand expectation
SC-TRN-0001,2021,8,180,0,180,No adjustment
SC-TRN-0001,2021,9,176,-42,134,Inventory consideration
SC-TRN-0001,2021,10,311,62,373,Critical part requirement
SC-TRN-0001,2021,11,252,0,252,No adjustment
SC-TRN-0001,2021,12,88,18,106,Lead time consideration
SC-TRN-0001,2022,1,350,-128,222,Customer demand expectation
SC-TRN-0001,2022,2,231,0,231,No adjustment
SC-TRN-0001,2022,3,221,-49,172,Customer demand expectation
SC-TRN-0001,2022,4,256,0,256,
SC-TRN-0001,2022,5,196,-81,115,Customer demand expectation
SC-TRN-0001,2022,6,257,-42,215,Customer demand expectation
SC-TRN-0001,2022,7,350,0,350,No adjustment
SC-TRN-0001,2022,8,388,0,388,
SC-TRN-0001,2022,9,275,-118,157,Customer demand expectation
SC-TRN-0001,2022,10,352,-57,295,Inventory consideration
SC-TRN-0001,2022,11,322,73,395,Critical part requirement
SC-TRN-0001,2022,12,464,0,464,
SC-TRN-0001,2023,1,160,-52,108,Inventory consideration
SC-TRN-0001,2023,2,409,-166,243,Inventory consideration
SC-TRN-0001,2023,3,348,-99,249,Inventory consideration
SC-TRN-0001,2023,4,250,44,294,Critical part requirement
SC-TRN-0001,2023,5,222,-39,183,Customer demand expectation
SC-TRN-0001,2023,6,94,0,94,No adjustment
SC-TRN-0001,2023,7,420,-83,337,Customer demand expectation
SC-TRN-0001,2023,8,310,-131,179,Inventory consideration
SC-TRN-0001,2023,9,139,-40,99,Customer demand expectation
SC-TRN-0001,2023,10,333,80,413,Customer demand expectation
SC-TRN-0001,2023,11,247,-92,155,Customer demand expectation
SC-TRN-0001,2023,12,174,65,239,Critical part requirement
SC-TRN-0001,2024,1,380,-112,268,Inventory consideration
SC-TRN-0001,2024,2,163,0,163,No adjustment
SC-TRN-0001,2024,3,260,-114,146,Inventory consideration
SC-TRN-0001,2024,4,452,131,583,Lead time consideration
SC-TRN-0001,2024,5,300,0,300,
SC-TRN-0001,2024,6,199,59,258,Customer demand expectation
SC-TRN-0001,2024,7,248,0,248,
SC-TRN-0001,2024,8,301,0,301,
SC-TRN-0001,2024,9,281,-91,190,Customer demand expectation
SC-TRN-0001,2024,10,235,-84,151,Customer demand expectation
SC-TRN-0001,2024,11,429,0,429,No adjustment
SC-TRN-0001,2024,12,412,0,412,
SC-SUS-0001,2020,1,81,0,81,No adjustment
SC-SUS-0001,2020,2,59,0,59,No adjustment
SC-SUS-0001,2020,3,84,-13,71,
SC-SUS-0001,2020,4,102,-20,82,Inventory consideration
SC-SUS-0001,2020,5,38,0,38,
SC-SUS-0001,2020,6,118,0,118,No adjustment
SC-SUS-0001,2020,7,188,70,258,Lead time consideration
SC-SUS-0001,2020,8,245,0,245,
SC-SUS-0001,2020,9,101,28,129,Lead time consideration
SC-SUS-0001,2020,10,179,73,252,
SC-SUS-0001,2020,11,215,-62,153,
SC-SUS-0001,2020,12,214,-77,137,Customer demand expectation
SC-SUS-0001,2021,1,125,-52,73,Customer demand expectation
SC-SUS-0001,2021,2,196,0,196,
SC-SUS-0001,2021,3,171,0,171,
SC-SUS-0001,2021,4,168,48,216,Customer demand expectation
SC-SUS-0001,2021,5,220,76,296,Critical part requirement
SC-SUS-0001,2021,6,178,79,257,Lead time consideration
SC-SUS-0001,2021,7,192,41,233,Lead time consideration
SC-SUS-0001,2021,8,152,33,185,Customer demand expectation
SC-SUS-0001,2021,9,149,-55,94,Inventory consideration
SC-SUS-0001,2021,10,198,88,286,Critical part requirement
SC-SUS-0001,2021,11,252,50,302,Critical part requirement
SC-SUS-0001,2021,12,93,0,93,No adjustment
SC-SUS-0001,2022,1,193,30,223,Customer demand expectation
SC-SUS-0001,2022,2,155,-30,125,Customer demand expectation
SC-SUS-0001,2022,3,221,72,293,
SC-SUS-0001,2022,4,126,39,165,Lead time consideration
SC-SUS-0001,2022,5,122,-33,89,Customer demand expectation
SC-SUS-0001,2022,6,197,33,230,Critical part requirement
SC-SUS-0001,2022,7,344,134,478,Lead time consideration
SC-SUS-0001,2022,8,169,0,169,
SC-SUS-0001,2022,9,177,-71,106,Inventory consideration
SC-SUS-0001,2022,10,137,51,188,
SC-SUS-0001,2022,11,315,91,406,Customer demand expectation
SC-SUS-0001,2022,12,99,0,99,
SC-SUS-0001,2023,1,235,98,333,Critical part requirement
SC-SUS-0001,2023,2,182,35,217,Customer demand expectation
SC-SUS-0001,2023,3,218,42,260,Critical part requirement
SC-SUS-0001,2023,4,268,61,329,Lead time consideration
SC-SUS-0001,2023,5,145,24,169,Lead time consideration
SC-SUS-0001,2023,6,276,-119,157,Inventory consideration
SC-SUS-0001,2023,7,250,0,250,
SC-SUS-0001,2023,8,188,80,268,Critical part requirement
SC-SUS-0001,2023,9,242,88,330,Customer demand expectation
SC-SUS-0001,2023,10,230,46,276,Lead time consideration
SC-SUS-0001,2023,11,273,0,273,
SC-SUS-0001,2023,12,245,100,345,Lead time consideration
SC-SUS-0001,2024,1,206,61,267,Lead time consideration
SC-SUS-0001,2024,2,112,43,155,Lead time consideration
SC-SUS-0001,2024,3,153,30,183,Critical part requirement
SC-SUS-0001,2024,4,336,148,484,Lead time consideration
SC-SUS-0001,2024,5,118,0,118,
SC-SUS-0001,2024,6,242,107,349,
SC-SUS-0001,2024,7,253,84,337,Customer demand expectation
SC-SUS-0001,2024,8,326,0,326,No adjustment
SC-SUS-0001,2024,9,129,52,181,Customer demand expectation
SC-SUS-0001,2024,10,185,20,205,Lead time consideration
SC-SUS-0001,2024,11,262,29,291,Lead time consideration
SC-SUS-0001,2024,12,338,0,338,
SC-ENG-0001,2020,1,150,-64,86,Customer demand expectation
SC-ENG-0001,2020,2,63,15,78,Lead time consideration
SC-ENG-0001,2020,3,113,-24,89,Inventory consideration
SC-ENG-0001,2020,4,153,34,187,Lead time consideration
SC-ENG-0001,2020,5,31,-4,27,Inventory consideration
SC-ENG-0001,2020,6,118,44,162,Customer demand expectation
SC-ENG-0001,2020,7,54,0,54,No adjustment
SC-ENG-0001,2020,8,81,-28,53,Inventory consideration
SC-ENG-0001,2020,9,16,-5,11,Customer demand expectation
SC-ENG-0001,2020,10,77,0,77,
SC-ENG-0001,2020,11,61,0,61,
SC-ENG-0001,2020,12,25,-3,22,Customer demand expectation
SC-ENG-0001,2021,1,23,-7,16,Customer demand expectation
SC-ENG-0001,2021,2,6,0,6,No adjustment
SC-ENG-0001,2021,3,27,-3,24,Inventory consideration
SC-ENG-0001,2021,4,33,-11,22,Inventory consideration
SC-ENG-0001,2021,5,117,15,132,Customer demand expectation
SC-ENG-0001,2021,6,47,-19,28,Inventory consideration
SC-ENG-0001,2021,7,22,-2,20,Customer demand expectation
SC-ENG-0001,2021,8,82,0,82,
SC-ENG-0001,2021,9,182,-42,140,Inventory consideration
SC-ENG-0001,2021,10,71,0,71,
SC-ENG-0001,2021,11,109,-17,92,Inventory consideration
SC-ENG-0001,2021,12,39,4,43,Customer demand expectation
SC-ENG-0001,2022,1,27,-6,21,Inventory consideration
SC-ENG-0001,2022,2,70,-21,49,Inventory consideration
SC-ENG-0001,2022,3,34,-11,23,Customer demand expectation
SC-ENG-0001,2022,4,71,0,71,
SC-ENG-0001,2022,5,41,0,41,
SC-ENG-0001,2022,6,177,0,177,No adjustment
SC-ENG-0001,2022,7,73,0,73,
SC-ENG-0001,2022,8,149,-52,97,Customer demand expectation
SC-ENG-0001,2022,9,150,-40,110,Inventory consideration
SC-ENG-0001,2022,10,128,-45,83,Customer demand expectation
SC-ENG-0001,2022,11,61,-19,42,Inventory consideration
SC-ENG-0001,2022,12,25,-7,18,Inventory consideration
SC-ENG-0001,2023,1,0,0,0,Customer demand expectation
SC-ENG-0001,2023,2,76,0,76,
SC-ENG-0001,2023,3,217,-97,120,Inventory consideration
SC-ENG-0001,2023,4,58,0,58,No adjustment
SC-ENG-0001,2023,5,180,66,246,Critical part requirement
SC-ENG-0001,2023,6,102,-42,60,Inventory consideration
SC-ENG-0001,2023,7,75,-30,45,Customer demand expectation
SC-ENG-0001,2023,8,253,36,289,Lead time consideration
SC-ENG-0001,2023,9,44,-9,35,Customer demand expectation
SC-ENG-0001,2023,10,144,0,144,No adjustment
SC-ENG-0001,2023,11,54,-13,41,
SC-ENG-0001,2023,12,132,0,132,
SC-ENG-0001,2024,1,246,-54,192,Customer demand expectation
SC-ENG-0001,2024,2,408,-118,290,Customer demand expectation
SC-ENG-0001,2024,3,291,-37,254,Customer demand expectation
SC-ENG-0001,2024,4,445,-91,354,Inventory consideration
SC-ENG-0001,2024,5,194,-84,110,Inventory consideration
SC-ENG-0001,2024,6,389,-99,290,Customer demand expectation
SC-ENG-0001,2024,7,231,-57,174,Customer demand expectation
SC-ENG-0001,2024,8,108,0,108,No adjustment
SC-ENG-0001,2024,9,432,155,587,Customer demand expectation
SC-ENG-0001,2024,10,76,0,76,
SC-ENG-0001,2024,11,37,-10,27,Customer demand expectation
SC-ENG-0001,2024,12,33,0,33,
SC-ENG-0002,2020,1,1415,-458,957,Customer demand expectation
SC-ENG-0002,2020,2,1568,475,2043,Lead time consideration
SC-ENG-0002,2020,3,1043,333,1376,Critical part requirement
SC-ENG-0002,2020,4,1728,454,2182,Lead time consideration
SC-ENG-0002,2020,5,1687,-556,1131,Customer demand expectation
SC-ENG-0002,2020,6,1603,-412,1191,Customer demand expectation
SC-ENG-0002,2020,7,1342,324,1666,Critical part requirement
SC-ENG-0002,2020,8,1784,0,1784,No adjustment
SC-ENG-0002,2020,9,1020,293,1313,Critical part requirement
SC-ENG-0002,2020,10,1265,178,1443,Customer demand expectation
SC-ENG-0002,2020,11,1695,0,1695,No adjustment
SC-ENG-0002,2020,12,1356,0,1356,
SC-ENG-0002,2021,1,1128,139,1267,Customer demand expectation
SC-ENG-0002,2021,2,1517,384,1901,Critical part requirement
SC-ENG-0002,2021,3,1416,188,1604,Customer demand expectation
SC-ENG-0002,2021,4,1082,-308,774,Inventory consideration
SC-ENG-0002,2021,5,1453,-215,1238,Inventory consideration
SC-ENG-0002,2021,6,1536,0,1536,
SC-ENG-0002,2021,7,1403,-156,1247,Inventory consideration
SC-ENG-0002,2021,8,1350,-479,871,Inventory consideration
SC-ENG-0002,2021,9,1486,0,1486,
SC-ENG-0002,2021,10,1629,0,1629,No adjustment
SC-ENG-0002,2021,11,1288,-505,783,Inventory consideration
SC-ENG-0002,2021,12,1764,494,2258,Lead time consideration
SC-ENG-0002,2022,1,1816,0,1816,No adjustment
SC-ENG-0002,2022,2,1564,0,1564,
SC-ENG-0002,2022,3,1459,0,1459,
SC-ENG-0002,2022,4,1377,0,1377,No adjustment
SC-ENG-0002,2022,5,1475,401,1876,Critical part requirement
SC-ENG-0002,2022,6,1328,-292,1036,Customer demand expectation
SC-ENG-0002,2022,7,1434,482,1916,Lead time consideration
SC-ENG-0002,2022,8,1453,432,1885,Critical part requirement
SC-ENG-0002,2022,9,1157,-351,806,Customer demand expectation
SC-ENG-0002,2022,10,982,430,1412,Lead time consideration
SC-ENG-0002,2022,11,1359,0,1359,
SC-ENG-0002,2022,12,1601,0,1601,No adjustment
SC-ENG-0002,2023,1,1698,506,2204,Critical part requirement
SC-ENG-0002,2023,2,1845,681,2526,Critical part requirement
SC-ENG-0002,2023,3,1966,545,2511,
SC-ENG-0002,2023,4,2214,-890,1324,Customer demand expectation
SC-ENG-0002,2023,5,1724,0,1724,
SC-ENG-0002,2023,6,1634,-628,1006,Inventory consideration
SC-ENG-0002,2023,7,1985,0,1985,No adjustment
SC-ENG-0002,2023,8,1958,586,2544,Critical part requirement
SC-ENG-0002,2023,9,1577,-541,1036,
SC-ENG-0002,2023,10,1456,0,1456,No adjustment
SC-ENG-0002,2023,11,2044,-341,1703,Customer demand expectation
SC-ENG-0002,2023,12,1493,670,2163,
SC-ENG-0002,2024,1,1489,169,1658,Lead time consideration
SC-ENG-0002,2024,2,1838,-225,1613,Inventory consideration
SC-ENG-0002,2024,3,1878,-562,1316,Inventory consideration
SC-ENG-0002,2024,4,1289,-552,737,Customer demand expectation
SC-ENG-0002,2024,5,1927,553,2480,Critical part requirement
SC-ENG-0002,2024,6,2040,0,2040,No adjustment
SC-ENG-0002,2024,7,1557,181,1738,Lead time consideration
SC-ENG-0002,2024,8,1269,0,1269,No adjustment
SC-ENG-0002,2024,9,918,0,918,
SC-ENG-0002,2024,10,2223,807,3030,Lead time consideration
SC-ENG-0002,2024,11,2339,734,3073,Critical part requirement
SC-ENG-0002,2024,12,1959,0,1959,
SC-HYD-0002,2020,1,38,0,38,
SC-HYD-0002,2020,2,33,-14,19,Customer demand expectation
SC-HYD-0002,2020,3,30,6,36,Critical part requirement
SC-HYD-0002,2020,4,48,16,64,Lead time consideration
SC-HYD-0002,2020,5,24,0,24,
SC-HYD-0002,2020,6,6,1,7,Customer demand expectation
SC-HYD-0002,2020,7,50,10,60,Customer demand expectation
SC-HYD-0002,2020,8,21,-3,18,Inventory consideration
SC-HYD-0002,2020,9,40,-12,28,Customer demand expectation
SC-HYD-0002,2020,10,59,0,59,No adjustment
SC-HYD-0002,2020,11,46,-17,29,Customer demand expectation
SC-HYD-0002,2020,12,48,-6,42,Customer demand expectation
SC-HYD-0002,2021,1,43,-12,31,Inventory consideration
