Branch_ID,Part_Number,Year,Month,Actual_Demand_Qty
DPS,SC-FUE-0003,2021,8,
DPS,SC-HYD-0006,2022,6,10.0
BJM,SC-HYD-0016,2023,6,9.0
GTO,SC-ELC-0005,2023,11,0.0
KDI,SC-CLG-0008,2022,3,42.0
KDI,SC-BRK-0008,2023,1,0.0
CRB,SC-TRN-0005,2020,3,7.0
SMG,SC-ENG-0008,2023,6,0.0
MND,SC-SUS-0015,2020,3,0.0
PKU,SC-FUE-0015,2022,12,76.0
MDN,SC-BRK-0001,2021,9,0.0
LHK,SC-FUE-0009,2022,8,1.0
SMG,SC-HYD-0009,2024,8,0.0
BPN2,SC-FUE-0011,2021,7,37.0
PKU,SC-HYD-0002,2023,1,0.0
BTH,SC-FLT-0007,2024,8,1.0
LPG,SC-ENG-0007,2024,2,27.0
SMG,SC-BRK-0007,2024,8,0.0
SMD,SC-BRK-0008,2024,8,0.0
AMQ,SC-BRK-0011,2021,12,9.0
CRB,SC-ELC-0009,2024,1,91.0
BPP,SC-ENG-0006,2024,11,0.0
LHK,SC-CLG-0004,2022,2,30.0
BKL,SC-ENG-0011,2021,9,0.0
BPN2,SC-HYD-0008,2023,3,0.0
MRK,SC-FUE-0004,2024,5,2.0
SMG,SC-HYD-0001,2021,6,0.0
CRB,SC-BRK-0011,2020,9,6.0
BJM,SC-FUE-0013,2024,2,0.0
KPG,SC-BRK-0007,2024,1,38.0
MND,SC-ENG-0013,2024,9,12.0
JAY,SC-TWA-0006,2023,5,0.0
DPS,SC-ELC-0001,2024,5,0.0
KPG,SC-SUS-0009,2024,5,0.0
SBY,SC-ENG-0010,2024,11,0.0
YGY,SC-TRN-0017,2021,8,0.0
KPG,SC-TRN-0018,2023,7,30.0
BTH,SC-ENG-0005,2024,12,0.0
SRG,SC-TRN-0011,2021,10,13.0
JMB,SC-TWA-0007,2022,9,12.0
PKU,SC-FLT-0003,2021,2,10.0
PLB,SC-HYD-0016,2023,10,-2.0
YGY,SC-FLT-0013,2021,11,12.0
BPN2,SC-TRN-0014,2024,6,73.0
AMQ,SC-SUS-0006,2023,8,0.0
JAY,SC-HYD-0012,2020,10,8.0
GTO,SC-CLG-0001,2022,10,0.0
KPG,SC-BRK-0010,2023,3,39.0
DPS,SC-SUS-0017,2021,1,0.0
SBY,SC-ENG-0004,2020,6,0.0
JMB,SC-SUS-0006,2023,10,4.0
BPN2,SC-ENG-0005,2021,11,19.0
TRK,SC-FUE-0004,2021,10,10.0
SRG,SC-ENG-0001,2023,8,0.0
MND,SC-HYD-0016,2023,7,9.0
BPN2,SC-SUS-0001,2020,4,10.0
JAY,SC-SUS-0007,2023,1,30.0
SMG,SC-HYD-0014,2021,5,79.0
SOQ,SC-CLG-0003,2021,10,66.0
BJM,SC-SUS-0003,2021,3,0.0
BJM,SC-TWA-0009,2020,4,
SBY,SC-SUS-0012,2023,5,0.0
BPP,SC-FUE-0015,2023,11,117.0
BPP,SC-ENG-0013,2020,8,84.0
YGY,SC-TRN-0012,2022,7,0.0
SOQ,SC-FLT-0005,2022,2,26.0
LPG,SC-FLT-0011,2024,8,14.0
YGY,SC-FUE-0014,2021,6,0.0
JMB,SC-ENG-0003,2022,10,0.0
TRK,SC-TRN-0004,2022,2,35.0
BPN2,SC-FUE-0009,2021,2,8.0
MTR,SC-FLT-0004,2020,5,0.0
GTO,SC-FLT-0012,2022,5,0.0
MLG,SC-FLT-0012,2021,6,20.0
SMG,SC-TRN-0011,2024,4,9.0
DPS,SC-ENG-0007,2024,10,18.0
MKS,SC-TRN-0013,2022,11,4.0
KPG,SC-ENG-0013,2023,11,0.0
GTO,SC-FLT-0001,2020,5,13.0
SGT,SC-TWA-0012,2022,5,0.0
PLB,SC-FLT-0007,2021,4,10.0
CRB,SC-FUE-0016,2021,6,5.0
MDN,SC-HYD-0002,2023,2,0.0
MLG,SC-ENG-0002,2023,9,56.0
JMB,SC-BRK-0009,2020,11,0.0
CRB,SC-BRK-0010,2024,5,0.0
BTH,SC-SUS-0016,2021,3,23.0
DPS,SC-BRK-0010,2023,9,10.0
MDN,SC-FUE-0009,2022,10,0.0
JMB,SC-TWA-0005,2023,3,0.0
BDG,SC-BRK-0005,2023,6,13.0
SOQ,SC-BRK-0011,2023,11,0.0
SRG,SC-CLG-0006,2021,3,4.0
BKL,SC-FUE-0006,2024,4,0.0
SRG,SC-HYD-0005,2020,5,0.0
AMQ,SC-CLG-0003,2021,4,20.0
PLB,SC-HYD-0002,2023,12,0.0
GTO,SC-TWA-0005,2023,7,0.0
PLU,SC-SUS-0023,2020,4,2.0
MND,SC-ELC-0006,2024,10,3.0
SGT,SC-TWA-0008,2020,7,0.0
MTR,SC-FUE-0013,2022,7,
LPG,SC-BRK-0002,2024,12,0.0
PTK,SC-HYD-0009,2021,1,0.0
LHK,SC-FLT-0009,2023,2,10.0
LPG,SC-TRN-0002,2021,9,6.0
BJM,SC-TRN-0008,2022,9,18.0
SOQ,SC-FLT-0006,2021,9,0.0
AMQ,SC-TRN-0006,2023,12,32.0
SMG,SC-FLT-0011,2021,1,6.0
DPS,SC-TRN-0003,2023,2,2.0
MTR,SC-TRN-0016,2023,1,3.0
TRK,SC-SUS-0017,2021,6,4.0
SBY,SC-BRK-0010,2022,2,23.0
YGY,SC-TRN-0002,2023,11,0.0
BJM,SC-HYD-0015,2024,9,7.0
MTR,SC-HYD-0010,2021,6,91.0
BTH,SC-ENG-0010,2024,6,0.0
JMB,SC-ELC-0004,2020,5,0.0
CRB,SC-ENG-0007,2020,9,
MKS,SC-TWA-0011,2020,6,0.0
PTK,SC-ENG-0009,2020,12,0.0
SOQ,SC-HYD-0016,2021,12,6.0
MND,SC-SUS-0015,2021,8,4.0
KDI,SC-TRN-0015,2024,6,6.0
TRK,SC-FUE-0001,2022,1,14.0
MND,SC-FLT-0007,2022,8,2.0
PKU,SC-SUS-0011,2024,8,0.0
DPS,SC-ENG-0008,2022,3,7.0
YGY,SC-TRN-0003,2024,10,4.0
MKS,SC-SUS-0021,2024,5,90.0
PLB,SC-BRK-0012,2021,12,12.0
CRB,SC-ENG-0013,2020,1,2.0
SMG,SC-FUE-0002,2021,10,14.0
DPS,SC-SUS-0015,2024,6,4.0
PKU,SC-ELC-0006,2023,11,12.0
MND,SC-HYD-0013,2024,5,0.0
SOQ,SC-FLT-0011,2022,7,0.0
MRK,SC-SUS-0014,2024,7,3.0
MKS,SC-FUE-0003,2022,8,0.0
SBY,SC-SUS-0023,2022,6,3.0
MTR,SC-TWA-0010,2023,2,19.0
BJM,SC-TWA-0013,2021,1,2.0
GTO,SC-FUE-0004,2021,5,10.0
SGT,SC-FLT-0003,2021,6,12.0
MKS,SC-SUS-0001,2024,7,11.0
SMD,SC-ELC-0003,2022,6,10.0
SRG,SC-ENG-0007,2024,7,0.0
MLG,SC-SUS-0012,2024,3,5.0
JMB,SC-HYD-0015,2021,6,63.0
PLU,SC-BRK-0003,2022,10,56.0
GTO,SC-TWA-0006,2023,1,0.0
DPS,SC-FLT-0001,2022,9,8.0
SMD,SC-TWA-0009,2020,4,0.0
PLU,SC-HYD-0016,2022,2,7.0
BPP,SC-ENG-0003,2024,8,0.0
PDG,SC-TRN-0015,2020,5,1.0
JAY,SC-FUE-0016,2020,10,3.0
SOQ,SC-ENG-0002,2024,4,28.0
BTH,SC-HYD-0014,2023,10,-31.0
BJM,SC-HYD-0016,2022,12,11.0
SMG,SC-ELC-0001,2021,6,12.0
CRB,SC-TWA-0001,2024,2,33.0
SMG,SC-FLT-0003,2022,3,
MDN,SC-TRN-0001,2020,3,12.0
MKS,SC-HYD-0005,2020,5,0.0
SMG,SC-ELC-0005,2020,8,0.0
KPG,SC-ENG-0005,2024,3,91.0
PLU,SC-ENG-0014,2020,10,0.0
JAY,SC-FLT-0013,2024,2,14.0
TRK,SC-ELC-0003,2024,10,14.0
YGY,SC-HYD-0011,2024,7,0.0
SOQ,SC-BRK-0004,2022,9,0.0
KDI,SC-HYD-0003,2023,10,0.0
AMQ,SC-ELC-0006,2021,12,0.0
SMG,SC-TWA-0007,2020,1,10.0
SBY,SC-HYD-0016,2020,3,11.0
PTK,SC-FUE-0006,2020,7,0.0
PTK,SC-HYD-0008,2021,8,0.0
LHK,SC-SUS-0003,2020,1,0.0
SMG,SC-FLT-0014,2023,3,0.0
JMB,SC-TRN-0001,2021,1,4.0
PLB,SC-TWA-0002,2022,10,35.0
JKT,SC-ELC-0006,2021,2,0.0
TRK,SC-TWA-0002,2022,10,62.0
MKS,SC-HYD-0004,2022,1,80.0
BKL,SC-FLT-0009,2023,12,1.0
MND,SC-FLT-0012,2022,4,8.0
CRB,SC-TRN-0008,2020,6,106.0
SOQ,SC-ELC-0003,2020,4,0.0
BPN2,SC-HYD-0013,2020,7,0.0
LHK,SC-FLT-0008,2021,3,15.0
PLU,SC-TWA-0007,2023,10,12.0
BKL,SC-BRK-0009,2024,9,0.0
BPN2,SC-TWA-0006,2021,12,0.0
LHK,SC-BRK-0013,2022,4,0.0
PKU,SC-SUS-0016,2020,9,49.0
PKU,SC-CLG-0002,2020,10,24.0
BDG,SC-SUS-0013,2023,8,0.0
PLU,SC-TWA-0009,2020,2,4.0
PKU,SC-HYD-0005,2021,12,1.0
BPP,SC-FLT-0004,2021,10,0.0
PKU,SC-FLT-0001,2024,8,32.0
MRK,SC-SUS-0012,2021,10,0.0
MTR,SC-CLG-0005,2022,3,37.0
JKT,SC-BRK-0012,2023,7,37.0
MND,SC-FLT-0001,2021,1,0.0
GTO,SC-ENG-0007,2023,10,44.0
TRK,SC-TRN-0005,2023,3,0.0
YGY,SC-ELC-0006,2021,5,0.0
SOQ,SC-TWA-0008,2021,6,0.0
PKU,SC-ELC-0012,2024,6,22.0
MKS,SC-HYD-0011,2024,1,0.0
MDN,SC-SUS-0006,2020,2,0.0
PLU,SC-TRN-0005,2021,1,0.0
AMQ,SC-ENG-0001,2022,5,0.0
BJM,SC-FUE-0007,2020,4,0.0
PTK,SC-SUS-0023,2021,6,0.0
MTR,SC-FUE-0008,2021,1,0.0
TRK,SC-ENG-0004,2022,11,10.0
MRK,SC-CLG-0008,2024,7,59.0
LPG,SC-BRK-0001,2021,7,0.0
TRK,SC-FUE-0016,2023,5,0.0
LHK,SC-TWA-0007,2020,5,0.0
JKT,SC-HYD-0016,2022,11,16.0
MKS,SC-TRN-0003,2020,9,0.0
MND,SC-TRN-0008,2022,8,35.0
LHK,SC-TWA-0012,2024,2,2.0
BJM,SC-HYD-0005,2022,3,0.0
BDG,SC-FUE-0008,2020,8,0.0
BJM,SC-ELC-0012,2022,3,8.0
SMD,SC-TWA-0003,2024,10,8.0
MKS,SC-HYD-0001,2023,9,34.0
KPG,SC-FLT-0014,2023,10,0.0
BTH,SC-BRK-0006,2021,1,0.0
BKL,SC-FLT-0009,2023,10,0.0
PKU,SC-FUE-0014,2023,11,0.0
SOQ,SC-BRK-0002,2021,9,0.0
PLB,SC-SUS-0012,2022,1,0.0
MND,SC-TWA-0009,2022,8,0.0
LHK,SC-ELC-0012,2023,10,11.0
GTO,SC-SUS-0007,2020,4,41.0
MKS,SC-TRN-0016,2022,1,
BPN2,SC-FUE-0007,2024,12,0.0
PTK,SC-ELC-0002,2023,11,0.0
PKU,SC-TRN-0015,2021,9,0.0
MTR,SC-TRN-0018,2020,8,19.0
AMQ,SC-BRK-0006,2021,9,9.0
LHK,SC-SUS-0022,2024,1,8.0
BTH,SC-FUE-0008,2023,10,0.0
PTK,SC-ELC-0008,2022,4,0.0
LHK,SC-ENG-0008,2023,11,7.0
SOQ,SC-FUE-0003,2023,1,3.0
MTR,SC-TWA-0002,2020,4,75.0
PLB,SC-FUE-0008,2024,5,0.0
SMG,SC-ENG-0008,2022,6,12.0
CRB,SC-SUS-0017,2022,11,0.0
MLG,SC-FUE-0012,2020,11,0.0
AMQ,SC-ELC-0001,2023,8,0.0
LPG,SC-ENG-0008,2022,10,7.0
SMD,SC-ELC-0012,2022,12,8.0
JKT,SC-SUS-0024,2021,6,81.0
SMG,SC-SUS-0022,2022,1,37.0
PLB,SC-BRK-0006,2022,11,11.0
GTO,SC-HYD-0014,2021,6,0.0
YGY,SC-ENG-0005,2022,9,31.0
BKL,SC-ELC-0008,2022,7,2.0
DPS,SC-HYD-0007,2023,5,
SOQ,SC-TRN-0012,2024,7,11.0
PDG,SC-TWA-0003,2023,5,12.0
MTR,SC-TWA-0013,2020,12,0.0
MLG,SC-ENG-0009,2020,3,0.0
JAY,SC-SUS-0024,2020,2,25.0
SBY,SC-TWA-0004,2020,9,6.0
SGT,SC-SUS-0008,2024,10,28.0
MKS,SC-TWA-0008,2024,12,0.0
PLB,SC-FLT-0010,2020,1,0.0
PDG,SC-HYD-0006,2024,10,12.0
LPG,SC-TWA-0010,2020,1,0.0
BTH,SC-HYD-0011,2022,7,0.0
MND,SC-ENG-0001,2023,12,0.0
MTR,SC-CLG-0007,2022,2,18.0
DPS,SC-BRK-0002,2023,5,0.0
BPP,SC-TWA-0013,2023,8,0.0
LPG,SC-CLG-0003,2022,11,0.0
MDN,SC-ENG-0016,2021,9,17.0
DPS,SC-TWA-0010,2021,10,36.0
LHK,SC-TRN-0014,2023,12,51.0
PDG,SC-TRN-0015,2021,12,0.0
MRK,SC-SUS-0021,2021,1,21.0
PDG,SC-FUE-0005,2023,10,6.0
MND,SC-ELC-0012,2023,1,10.0
CRB,SC-HYD-0011,2021,6,81.0
BPP,SC-FUE-0015,2021,6,107.0
MTR,SC-ELC-0008,2024,9,10.0
SOQ,SC-SUS-0002,2022,5,14.0
CRB,SC-HYD-0015,2021,3,45.0
JAY,SC-BRK-0009,2023,4,0.0
SMD,SC-HYD-0001,2021,6,16.0
SOQ,SC-TRN-0015,2023,1,
BJM,SC-SUS-0020,2024,10,33.0
YGY,SC-FUE-0011,2020,4,27.0
GTO,SC-FLT-0009,2024,1,16.0
AMQ,SC-FLT-0004,2024,5,0.0
JKT,SC-CLG-0007,2021,4,29.0
BPP,SC-ENG-0009,2024,9,1.0
BDG,SC-BRK-0004,2023,4,7.0
PDG,SC-HYD-0005,2021,4,4.0
JAY,SC-ENG-0015,2021,3,0.0
JMB,SC-ENG-0002,2021,9,17.0
PLB,SC-FLT-0008,2023,4,20.0
SMD,SC-TRN-0009,2024,4,7.0
AMQ,SC-ENG-0003,2021,5,0.0
PKU,SC-SUS-0005,2024,9,0.0
SRG,SC-FUE-0007,2021,6,4.0
GTO,SC-ELC-0004,2021,8,1.0
BKL,SC-ELC-0007,2021,5,18.0
SOQ,SC-HYD-0005,2024,12,0.0
SMG,SC-HYD-0008,2021,2,0.0
SOQ,SC-FUE-0001,2022,7,19.0
GTO,SC-FUE-0012,2020,7,0.0
MKS,SC-SUS-0017,2022,2,12.0
BJM,SC-HYD-0013,2024,9,7.0
TRK,SC-CLG-0004,2024,1,-51.0
SOQ,SC-BRK-0006,2024,10,7.0
BPP,SC-SUS-0007,2023,7,48.0
MTR,SC-TRN-0006,2022,4,0.0
AMQ,SC-SUS-0012,2021,7,0.0
SRG,SC-TWA-0013,2022,12,0.0
SGT,SC-TWA-0005,2023,4,0.0
YGY,SC-HYD-0016,2023,8,24.0
MRK,SC-ELC-0008,2023,4,11.0
JKT,SC-SUS-0009,2020,3,0.0
BTH,SC-HYD-0009,2024,5,4.0
YGY,SC-HYD-0009,2020,10,0.0
BDG,SC-HYD-0008,2023,1,0.0
PLB,SC-ELC-0007,2023,8,26.0
KDI,SC-BRK-0005,2020,8,34.0
AMQ,SC-TWA-0005,2021,11,0.0
LHK,SC-TRN-0011,2023,12,0.0
LPG,SC-ENG-0015,2020,7,0.0
BPP,SC-FUE-0001,2022,1,0.0
BTH,SC-FUE-0003,2024,6,4.0
PTK,SC-ELC-0008,2020,7,14.0
MTR,SC-HYD-0005,2020,8,6.0
MLG,SC-BRK-0011,2022,10,0.0
MKS,SC-SUS-0006,2021,2,6.0
BPN2,SC-FUE-0012,2022,1,0.0
PTK,SC-TRN-0003,2023,6,2.0
BKL,SC-ENG-0009,2024,3,0.0
PKU,SC-SUS-0002,2020,6,0.0
SMG,SC-BRK-0002,2024,6,0.0
LHK,SC-SUS-0021,2022,6,20.0
TRK,SC-HYD-0001,2020,11,0.0
JMB,SC-HYD-0005,2022,5,0.0
TRK,SC-ELC-0002,2022,4,13.0
LHK,SC-SUS-0003,2021,8,0.0
PTK,SC-ENG-0009,2021,10,
PDG,SC-ELC-0011,2022,2,59.0
SGT,SC-TRN-0010,2022,6,17.0
SMG,SC-TRN-0009,2020,2,0.0
LPG,SC-ENG-0007,2023,2,0.0
BDG,SC-HYD-0002,2020,2,0.0
PLU,SC-FLT-0006,2021,4,11.0
SRG,SC-FUE-0008,2020,12,0.0
PTK,SC-SUS-0013,2020,1,0.0
PTK,SC-BRK-0013,2024,7,45.0
LPG,SC-TRN-0008,2023,6,
SRG,SC-BRK-0011,2023,11,0.0
LHK,SC-HYD-0012,2023,6,6.0
PTK,SC-CLG-0003,2021,5,0.0
MRK,SC-FLT-0006,2024,11,8.0
KDI,SC-TWA-0002,2020,2,32.0
MKS,SC-BRK-0004,2024,2,42.0
MKS,SC-ENG-0012,2021,11,35.0
BDG,SC-ELC-0012,2024,3,9.0
PTK,SC-BRK-0005,2021,12,28.0
PKU,SC-ENG-0002,2022,5,67.0
AMQ,SC-TRN-0015,2024,4,-1.0
SBY,SC-SUS-0023,2022,2,0.0
SMG,SC-FUE-0011,2020,5,39.0
SOQ,SC-ENG-0006,2021,2,12.0
TRK,SC-TRN-0018,2021,2,67.0
SBY,SC-HYD-0005,2024,7,6.0
PKU,SC-ENG-0011,2024,10,0.0
BJM,SC-HYD-0015,2023,2,16.0
PDG,SC-FLT-0011,2023,6,0.0
KDI,SC-TWA-0013,2024,1,11.0
BPN2,SC-FUE-0010,2021,6,76.0
MLG,SC-FUE-0009,2022,4,0.0
SBY,SC-SUS-0020,2020,10,56.0
JKT,SC-TWA-0001,2021,9,29.0
SMD,SC-FLT-0005,2022,11,0.0
MDN,SC-SUS-0010,2021,2,53.0
LPG,SC-TRN-0010,2020,6,17.0
LPG,SC-FLT-0007,2024,10,14.0
BPP,SC-ENG-0014,2020,3,4.0
JKT,SC-SUS-0023,2022,5,0.0
BKL,SC-ENG-0007,2024,9,20.0
BKL,SC-FLT-0001,2020,3,5.0
MTR,SC-TWA-0010,2022,1,6.0
PLU,SC-FUE-0001,2023,5,26.0
TRK,SC-HYD-0015,2024,7,27.0
MND,SC-SUS-0017,2022,2,3.0
SMG,SC-TRN-0009,2023,4,0.0
SGT,SC-TRN-0003,2020,11,0.0
BTH,SC-ELC-0001,2021,10,0.0
SGT,SC-HYD-0005,2023,9,0.0
MKS,SC-SUS-0015,2023,10,11.0
PKU,SC-ENG-0013,2023,9,11.0
KPG,SC-FLT-0005,2020,7,17.0
SOQ,SC-HYD-0015,2023,2,0.0
JMB,SC-TRN-0006,2023,1,11.0
MRK,SC-FUE-0012,2024,8,0.0
SMD,SC-HYD-0010,2023,10,42.0
KDI,SC-FUE-0002,2023,2,16.0
MLG,SC-SUS-0003,2022,1,0.0
SGT,SC-CLG-0004,2023,2,37.0
BJM,SC-TWA-0007,2024,12,20.0
SMG,SC-ELC-0010,2021,6,33.0
LHK,SC-TRN-0013,2022,3,0.0
CRB,SC-FUE-0008,2023,1,0.0
PKU,SC-HYD-0003,2020,4,33.0
JKT,SC-BRK-0013,2020,4,32.0
YGY,SC-TRN-0008,2020,1,25.0
MTR,SC-TRN-0002,2022,11,56.0
GTO,SC-FUE-0001,2020,3,32.0
SRG,SC-TWA-0008,2023,9,0.0
CRB,SC-FUE-0009,2020,3,1.0
JMB,SC-SUS-0003,2020,4,0.0
BPN2,SC-FLT-0007,2020,2,0.0
AMQ,SC-CLG-0001,2024,1,0.0
SMD,SC-HYD-0012,2020,3,0.0
JMB,SC-FLT-0008,2020,3,12.0
DPS,SC-TWA-0002,2023,2,55.0
SOQ,SC-FUE-0012,2023,9,0.0
LHK,SC-ENG-0004,2023,4,0.0
JKT,SC-HYD-0010,2021,1,82.0
MND,SC-FUE-0016,2024,12,0.0
BDG,SC-ENG-0006,2023,4,0.0
BJM,SC-FUE-0010,2021,5,37.0
JAY,SC-TRN-0009,2023,5,11.0
MRK,SC-SUS-0006,2021,10,7.0
LPG,SC-SUS-0021,2023,11,43.0
BPP,SC-ENG-0002,2022,7,-52.0
MTR,SC-ELC-0012,2021,5,33.0
KPG,SC-TRN-0014,2024,9,0.0
MRK,SC-TRN-0015,2023,1,0.0
SRG,SC-SUS-0005,2021,3,39.0
KPG,SC-ENG-0005,2021,9,0.0
PKU,SC-SUS-0009,2024,6,45.0
SBY,SC-HYD-0015,2021,9,19.0
MDN,SC-ENG-0008,2024,6,25.0
BPP,SC-TRN-0015,2021,5,0.0
